                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4081,                 9.7269,                0.69935,                 3.1822,                 2.8215,                0.26842,                0.47664,                0.19801,                0.07296,                0.00037,                0.01869,                0.00019,                  7e-05,                 3.3074,                 11.155,                0.69924,                 28.551,                 9.1514,                0.00052,                0.00052,                0.00052
                      2,                 2.1303,                  9.292,                0.68771,                  2.146,                 2.5213,                 0.0217,                0.85981,                0.02491,                0.01218,                      0,                      0,                      0,                      0,                 2.7015,                 11.972,                 3.3309,                    inf,                 19.341,              0.0010495,              0.0010495,              0.0010495
                      3,                 2.1113,                 9.0785,                0.67694,                 2.1344,                 2.5405,                 0.0217,                0.85981,                0.02491,                0.01218,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                    nan,              0.0015683,              0.0015683,              0.0015683
                      4,                 2.0441,                 8.9802,                0.66418,                 2.1832,                 2.4931,                0.00013,                0.01869,                  6e-05,                  1e-05,                      0,                      0,                      0,                      0,                  4.319,                 11.798,                 2.3723,                    inf,                 121.61,              0.0019406,              0.0019406,              0.0019406
                      5,                 2.0426,                 8.3036,                0.65393,                 2.1571,                 2.4816,                 0.0145,                0.11215,                0.00785,                0.00217,                0.00198,                0.03738,                 0.0004,                  9e-05,                 4.5822,                 10.793,                0.88649,                 92.711,                 11.885,              0.0019208,              0.0019208,              0.0019208
                      6,                 2.1106,                 8.7058,                0.65269,                 2.2193,                 2.5451,                0.20418,                0.58879,                0.29372,                0.09067,                0.00188,                0.09346,                 0.0007,                0.00017,                 2.8217,                 10.861,                0.71935,                 27.851,                 5.1558,               0.001901,               0.001901,               0.001901
                      7,                 1.9925,                 8.3326,                0.64404,                 2.1815,                   2.45,                 0.5313,                0.24299,                  0.265,                0.11362,                0.00367,                0.02804,                0.00059,                  9e-05,                 3.1154,                 9.8828,                0.71037,                 9.3607,                 5.2434,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.9678,                 8.1358,                0.63932,                 2.1181,                 2.4028,                0.24564,                0.30841,                0.16698,                0.04933,                0.00193,                0.02804,                0.00072,                0.00022,                 3.1513,                 9.6966,                0.69171,                   5.38,                 4.7516,              0.0018614,              0.0018614,              0.0018614
                      9,                  1.943,                 8.0712,                  0.641,                 2.1284,                  2.403,                0.42905,                0.43545,                0.36965,                0.14072,                0.00232,                0.01869,                0.00097,                0.00031,                 3.0323,                 9.6368,                0.68954,                 4.0526,                 4.5924,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.8953,                 8.0497,                0.63518,                 2.0373,                  2.334,                0.34658,                0.38171,                0.31836,                0.11653,                0.03592,                0.07477,                0.00733,                 0.0011,                 2.8207,                 9.0003,                0.67166,                 3.9292,                 4.7169,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.8732,                 7.8845,                0.62457,                 2.0336,                 2.3303,                0.33267,                0.42991,                0.28887,                0.10116,                0.06581,                0.05607,                0.01508,                0.00258,                 3.0498,                 8.7545,                0.68883,                  4.108,                 4.6694,               0.001802,               0.001802,               0.001802
                     12,                 1.8018,                 7.6281,                0.62205,                 2.0222,                 2.2608,                0.38031,                 0.4486,                0.39471,                0.17576,                0.02445,                0.04673,                0.00386,                0.00071,                 2.8538,                 8.8818,                0.70616,                 4.3463,                 4.2319,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.8447,                 7.5326,                0.62026,                 2.0271,                  2.298,                0.35633,                0.31045,                0.30331,                0.11698,                 0.0435,                0.04673,                0.00886,                0.00183,                 2.8515,                  8.782,                 0.6869,                 2.7108,                 4.5084,              0.0017624,              0.0017624,              0.0017624
